trading_date,factor_group,mean,count
2025-01-06,G2,0.0020337152693633586,1015
2025-01-06,G3,-0.0007023618268288228,1016
2025-01-06,G4,-0.0012476977621524203,1016
2025-01-06,G5,-0.011088739374531139,1017
2025-01-07,G1,0.03069495424710374,1016
2025-01-07,G2,0.024943686570333537,1017
2025-01-07,G3,0.02487017058747836,1017
2025-01-07,G4,0.020668791238840325,1017
2025-01-07,G5,0.008229460404874876,1017
2025-01-08,G1,0.029857439429531254,1017
2025-01-08,G2,0.025959968758937378,1017
2025-01-08,G3,0.02435322269293951,1017
2025-01-08,G4,0.01613051780758594,1017
2025-01-08,G5,-0.001563191519886031,1017
2025-01-09,G1,0.03067604628806116,1017
2025-01-09,G2,0.027508448666859683,1017
2025-01-09,G3,0.02471484459322532,1018
2025-01-09,G4,0.022055402626663223,1017
2025-01-09,G5,0.004625616547724362,1018
2025-01-10,G1,0.05954697732520946,1018
2025-01-10,G2,0.05553849532329056,1017
2025-01-10,G3,0.0523290137472218,1017
2025-01-10,G4,0.04838685566732754,1017
2025-01-10,G5,0.04065721678097823,1017
2025-01-13,G1,0.06168734127853806,1018
2025-01-13,G2,0.058990124840038564,1017
2025-01-13,G3,0.05724923477291466,1017
2025-01-13,G4,0.05363780715002533,1017
2025-01-13,G5,0.06264993015203482,1017
2025-01-14,G1,0.0057562606672691904,1018
2025-01-14,G2,0.009039634098766187,1018
2025-01-14,G3,0.011676056037011568,1017
2025-01-14,G4,0.011254251121254987,1018
2025-01-14,G5,0.019993568585322467,1018
2025-01-15,G1,-0.005161006464185169,1017
2025-01-15,G2,0.002345765865485615,1018
2025-01-15,G3,0.004250651712203301,1017
2025-01-15,G4,0.009282659450711479,1018
2025-01-15,G5,0.016009817853970865,1018
2025-01-16,G1,-0.00882874979434369,1018
2025-01-16,G2,-0.004229487541277426,1018
2025-01-16,G3,-0.0007131355230486575,1018
2025-01-16,G4,0.0017089435212729578,1018
2025-01-16,G5,0.0008886530660181589,1018
2025-01-17,G1,0.0029359056747427907,1018
2025-01-17,G2,0.007613500650389704,1018
2025-01-17,G3,0.006598862406116013,1018
2025-01-17,G4,0.011409227439619411,1018
2025-01-17,G5,0.013226361012029056,1018
2025-01-20,G1,-0.013885610483603626,1018
2025-01-20,G2,-0.007458350032154552,1018
2025-01-20,G3,-0.008408541431811379,1018
2025-01-20,G4,-0.004789200369284043,1018
2025-01-20,G5,-0.020615431054154705,1017
2025-01-21,G1,0.010239635652402388,1018
2025-01-21,G2,0.009595537239857883,1019
2025-01-21,G3,0.004001612791616247,1018
2025-01-21,G4,-0.0002330828714219761,1019
2025-01-21,G5,-0.023596739660988558,1018
2025-01-22,G1,0.043281864894684836,1019
2025-01-22,G2,0.04047857906286497,1019
2025-01-22,G3,0.03623397546413179,1019
2025-01-22,G4,0.028673447120057923,1019
2025-01-22,G5,0.015254506278672393,1018
2025-01-23,G1,0.05896221520317247,1020
2025-01-23,G2,0.05422470988428904,1019
2025-01-23,G3,0.04944841109071033,1019
2025-01-23,G4,0.042088501350655554,1019
2025-01-23,G5,0.03569543842560979,1018
2025-01-24,G1,0.06722208671235623,1019
2025-01-24,G2,0.061565963948859076,1017
2025-01-24,G3,0.057260813784877566,1018
2025-01-24,G4,0.048550081546828945,1018
2025-01-24,G5,0.03735866448301896,1019
2025-01-27,G1,0.0661303656597545,1019
2025-01-27,G2,0.06205256241735852,1017
2025-01-27,G3,0.062275770255035764,1018
2025-01-27,G4,0.05508706854710567,1018
2025-01-27,G5,0.06411751901621612,1018
2025-02-05,G1,0.05995068051742106,1019
2025-02-05,G2,0.05879056121365358,1017
2025-02-05,G3,0.05776432282121337,1019
2025-02-05,G4,0.0573774416375301,1018
2025-02-05,G5,0.07528736228024234,1019
2025-02-06,G1,0.033032929265433816,1019
